city,name,death,total,hurt,code,population
인천,중구,90.0,159.0,69.0,11140.0,130465.0
인천,중구,90.0,159.0,69.0,26110.0,47345.0
인천,중구,90.0,159.0,69.0,27110.0,76246.0
인천,중구,90.0,159.0,69.0,28110.0,107774.0
인천,중구,90.0,159.0,69.0,30140.0,264913.0
인천,중구,90.0,159.0,69.0,31110.0,234607.0
대전,대덕구,122.0,203.0,81.0,30230.0,204360.0
대전,유성구,141.0,206.0,65.0,30200.0,313968.0
부산,강서구,153.0,227.0,74.0,11500.0,569070.0
부산,강서구,153.0,227.0,74.0,26440.0,69873.0
서울,강서구,130.0,225.0,95.0,11500.0,569070.0
서울,강서구,130.0,225.0,95.0,26440.0,69873.0
부산,금정구,75.0,116.0,41.0,26410.0,253526.0
부산,기장군,82.0,131.0,49.0,26710.0,132507.0
부산,동래구,63.0,108.0,45.0,26260.0,276689.0
부산,부산진구,54.0,71.0,17.0,26230.0,389765.0
부산,사상구,122.0,166.0,44.0,26530.0,246797.0
부산,사하구,97.0,134.0,37.0,26380.0,349110.0
부산,수영구,48.0,72.0,24.0,26500.0,175098.0
부산,연제구,48.0,62.0,14.0,26470.0,209290.0
부산,영도구,47.0,65.0,18.0,26200.0,135816.0
부산,진구,66.0,83.0,17.0,0.0,0.0
부산,해운대구,97.0,183.0,86.0,26350.0,425536.0
서울,강남구,143.0,213.0,70.0,11680.0,563599.0
서울,강동구,113.0,149.0,36.0,11740.0,483379.0
서울,강북구,82.0,143.0,61.0,11305.0,338707.0
서울,관악구,111.0,139.0,28.0,11620.0,518028.0
서울,광진구,88.0,124.0,36.0,11215.0,368927.0
서울,구로구,112.0,192.0,80.0,11530.0,424964.0
서울,금천구,81.0,138.0,57.0,11545.0,241020.0
서울,노원구,95.0,137.0,42.0,11350.0,590479.0
서울,도봉구,72.0,87.0,15.0,11320.0,358582.0
서울,동대문구,131.0,159.0,28.0,11230.0,364273.0
서울,동작구,92.0,117.0,25.0,11590.0,410815.0
서울,마포구,115.0,161.0,46.0,11440.0,381856.0
서울,서대문구,83.0,124.0,41.0,11410.0,314110.0
서울,서초구,131.0,248.0,117.0,11650.0,441763.0
서울,성동구,68.0,80.0,12.0,11200.0,299337.0
서울,성북구,97.0,114.0,17.0,11290.0,476589.0
서울,송파구,138.0,229.0,91.0,11710.0,668415.0
서울,양천구,89.0,139.0,50.0,11470.0,492528.0
서울,영등포구,179.0,253.0,74.0,11560.0,386471.0
서울,용산구,87.0,119.0,32.0,11170.0,239740.0
서울,은평구,94.0,127.0,33.0,11380.0,503660.0
서울,종로구,72.0,87.0,15.0,11110.0,160070.0
서울,중랑구,71.0,93.0,22.0,11260.0,416798.0
세종,세종,133.0,183.0,50.0,0.0,0.0
울산,울주군,221.0,321.0,100.0,31710.0,208646.0
인천,강화군,80.0,109.0,29.0,28710.0,66735.0
인천,계양구,82.0,114.0,32.0,28245.0,343806.0
인천,남동구,162.0,250.0,88.0,28200.0,507021.0
인천,부평구,105.0,192.0,87.0,28237.0,556985.0
인천,연수구,106.0,151.0,45.0,28185.0,300305.0
인천,옹진군,25.0,34.0,9.0,28720.0,20698.0
전남,강진군,84.0,126.0,42.0,46810.0,40079.0
전남,고흥군,125.0,172.0,47.0,46770.0,70631.0
전남,곡성군,48.0,132.0,84.0,46720.0,31009.0
전남,광양시,146.0,232.0,86.0,46230.0,151621.0
전남,구례군,47.0,83.0,36.0,46730.0,27115.0
전남,나주시,207.0,339.0,132.0,46170.0,87754.0
전남,담양군,107.0,159.0,52.0,46710.0,47365.0
전남,목포시,143.0,185.0,42.0,46110.0,240936.0
전남,무안군,132.0,231.0,99.0,46840.0,79367.0
전남,보성군,124.0,189.0,65.0,46780.0,46385.0
전남,순천시,238.0,316.0,78.0,46150.0,275668.0
전남,신안군,74.0,124.0,50.0,46910.0,44162.0
전남,여수시,303.0,504.0,201.0,46130.0,291366.0
전남,영광군,109.0,172.0,63.0,46870.0,57617.0
전남,영암군,188.0,301.0,113.0,46830.0,59061.0
전남,완도군,67.0,96.0,29.0,46890.0,53619.0
전남,장성군,83.0,150.0,67.0,46880.0,46292.0
전남,장흥군,72.0,130.0,58.0,46800.0,43004.0
전남,진도군,70.0,93.0,23.0,46900.0,32998.0
전남,함평군,72.0,110.0,38.0,46860.0,35610.0
전남,해남군,162.0,242.0,80.0,46820.0,77684.0
전남,화순군,101.0,159.0,58.0,46790.0,67829.0
전북,고창군,123.0,210.0,87.0,45790.0,60522.0
전북,군산시,251.0,383.0,132.0,45130.0,278319.0
전북,김제시,177.0,250.0,73.0,45210.0,91218.0
전북,남원시,155.0,238.0,83.0,45190.0,86460.0
전북,무주군,57.0,134.0,77.0,45730.0,25398.0
전북,부안군,114.0,169.0,55.0,45800.0,59164.0
전북,순창군,82.0,124.0,42.0,45770.0,30272.0
전북,완주군,194.0,321.0,127.0,45710.0,86978.0
전북,익산시,281.0,402.0,121.0,45140.0,306539.0
전북,임실군,60.0,103.0,43.0,45750.0,29739.0
전북,장수군,41.0,56.0,15.0,45740.0,23243.0
전북,전주시,376.0,572.0,196.0,45110.0,650082.0
전북,정읍시,166.0,253.0,87.0,45180.0,118328.0
전북,진안군,52.0,72.0,20.0,45720.0,26703.0
제주,서귀포시,250.0,380.0,130.0,50130.0,155641.0
제주,제주시,363.0,570.0,207.0,50110.0,438165.0
충남,계룡시,12.0,13.0,1.0,44250.0,40957.0
충남,공주시,171.0,292.0,121.0,44150.0,116369.0
충남,금산군,91.0,140.0,49.0,44710.0,55441.0
충남,논산시,222.0,373.0,151.0,44230.0,125844.0
충남,당진시,272.0,433.0,161.0,44270.0,159615.0
충남,보령시,160.0,290.0,130.0,44180.0,104938.0
충남,부여군,142.0,195.0,53.0,44760.0,72547.0
충남,서산시,207.0,340.0,133.0,44210.0,165837.0
충남,서천군,107.0,181.0,74.0,44770.0,58441.0
충남,아산시,298.0,419.0,121.0,44200.0,287073.0
충남,연기군,7.0,9.0,2.0,0.0,0.0
충남,예산군,160.0,270.0,110.0,44810.0,85205.0
충남,천안시,396.0,682.0,286.0,44130.0,591089.0
충남,청양군,93.0,135.0,42.0,44790.0,32155.0
충남,태안군,134.0,205.0,71.0,44825.0,62416.0
충남,홍성군,153.0,226.0,73.0,44800.0,89704.0
충북,괴산군,104.0,174.0,70.0,43760.0,38059.0
충북,단양군,51.0,117.0,66.0,43800.0,31171.0
충북,보은군,83.0,132.0,49.0,43720.0,34318.0
충북,영동군,92.0,123.0,31.0,43740.0,50539.0
충북,옥천군,77.0,132.0,55.0,43730.0,52763.0
충북,음성군,192.0,349.0,157.0,43770.0,93505.0
충북,제천시,117.0,172.0,55.0,43150.0,137204.0
충북,증평군,29.0,42.0,13.0,43745.0,34546.0
충북,진천군,107.0,144.0,37.0,43750.0,64606.0
