year,dayAndNight,week,death,casualty,injuredPerson,location,accKind,violationLaw,roadKind,perpetrator,victim,Count
2018,Day,Sat,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Sat,1,3,2,Seoul,Car and Car,Violation of drivers laws,crossroad,a car,a van,1
2018,Night,Thu,1,4,3,Seoul,Only Car,Violation of drivers laws,crossroad,a car,none,1
2018,Night,Wed,1,1,0,Seoul,Car and People,Violation of drivers laws,crossroad,a van,Pedestrian,1
2018,Day,Fri,1,2,1,Seoul,Car and People,Violation of drivers laws,crossroad,construction machinery,Pedestrian,1
2018,Day,Wed,1,1,0,Seoul,Car and People,Violation of drivers laws,crossroad,construction machinery,Pedestrian,1
2018,Night,Thu,1,1,0,Seoul,Car and Car,Violation of drivers laws,singleroad,a car,a freight car,1
2018,Night,Fri,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Sat,1,1,0,Seoul,Only Car,Violation of drivers laws,singleroad,a freight car,none,1
2018,Night,Wed,1,2,1,Seoul,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Tue,1,1,0,Seoul,Car and Car,Violation of drivers laws,singleroad,자전거,construction machinery,1
2018,Night,Mon,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a van,Pedestrian,1
2018,Day,Tue,1,1,0,Busan,Only Car,Violation of drivers laws,singleroad,a van,none,1
2018,Day,Sun,1,1,0,Busan,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Night,Sat,2,2,0,Busan,Car and Car,Violation of drivers laws,singleroad,a two-wheeled car,a car,1
2018,Night,Sun,1,2,1,Busan,Car and Car,Violation of drivers laws,crossroad,a two-wheeled car,a car,1
2018,Day,Thu,1,2,1,Busan,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Night,Fri,1,1,0,Busan,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Wed,1,4,3,Busan,Car and Car,Violation of drivers laws,crossroad,a two-wheeled car,a car,1
2018,Night,Wed,1,1,0,Busan,Car and People,Violation of drivers laws,crossroad,a van,Pedestrian,1
2018,Night,Mon,1,1,0,Busan,Car and People,Violation of drivers laws,singleroad,a van,Pedestrian,1
2018,Night,Sat,1,5,4,Busan,Car and Car,Violation of drivers laws,singleroad,a car,a car,1
2018,Day,Mon,1,1,0,Busan,Car and People,Violation of drivers laws,singleroad,a two-wheeled car,Pedestrian,1
2018,Day,Mon,1,1,0,Busan,Only Car,Violation of drivers laws,crossroad,a two-wheeled car,none,1
2018,Day,Thu,1,1,0,Busan,Car and People,Violation of drivers laws,crossroad,a freight car,Pedestrian,1
2018,Day,Fri,1,2,1,Ulsan,Car and Car,Violation of drivers laws,singleroad,a freight car,a freight car,1
2018,Night,Mon,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,a car,a car,1
2018,Night,Sat,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,Other,a car,a car,1
2018,Night,Sat,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,a car,special car,1
2018,Night,Wed,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Day,Fri,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a van,Pedestrian,1
